site_id,common_name,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AVIA,adelie penguin,35600.0,35600.0,35600.0,35600.0,35600.0,36386.1911765,37172.3823529,37958.5735294,38744.7647059,39530.9558824,40317.1470588,41103.3382353,41889.5294118,42675.7205882,43461.9117647,44248.1029412,45034.2941176,45820.4852941,46606.6764706,47392.8676471,48179.0588235,48965.25,49751.4411765,50537.6323529,51323.8235294,52110.0147059,52896.2058824,53682.3970588,54468.5882353,55254.7794118,56040.9705882,56827.1617647,57613.3529412,58399.5441176,59185.7352941,59971.9264706,60758.1176471,61544.3088235,62330.5,62330.5
BACH,chinstrap penguin,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0
BACK,adelie penguin,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0
BAIL,chinstrap penguin,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,116666.666667,108333.333333,100000.0,98947.3684211,97894.7368421,96842.1052632,95789.4736842,94736.8421053,93684.2105263,92631.5789474,91578.9473684,90526.3157895,89473.6842105,88421.0526316,87368.4210526,86315.7894737,85263.1578947,84210.5263158,83157.8947368,82105.2631579,81052.6315789,80000.0,70136.0,60272.0,50408.0,50408.0,50408.0
BALA,adelie penguin,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
BARC,adelie penguin,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1553.7,1507.4,1461.1,1414.8,1368.5,1322.2,1275.9,1229.6,1183.3,1137.0,1090.7,1044.4,998.1,951.8,905.5,859.2,812.9,766.6,720.3,674.0,627.7,581.4,535.1,488.8,442.5,396.2,349.9,303.6,257.3,211.0,211.0
BARN,chinstrap penguin,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0
BARN,gentoo penguin,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
BART,chinstrap penguin,6298.0,6298.0,6298.0,6298.0,6298.0,6298.0,6298.0,5348.5,4399.0,3449.5,2500.0,1875.0,2250.0,1887.0,1524.0,1161.0,1440.66666667,1720.33333333,2000.0,2462.0,2924.0,2956.16666667,2988.33333333,3020.5,3052.66666667,3084.83333333,3117.0,3008.0,2998.6,2989.2,2979.8,2970.4,2961.0,2747.0,2632.0,2572.0,2612.0,3161.0,3332.0,3157.0
BART,gentoo penguin,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,600.0,425.0,510.666666667,596.333333333,682.0,621.333333333,560.666666667,500.0,750.5,1001.0,1056.33333333,1111.66666667,1167.0,1222.33333333,1277.66666667,1333.0,1441.0,1496.6,1552.2,1607.8,1663.4,1719.0,1684.0,1573.0,2289.0,2351.0,2212.0,2496.0,2378.0
BATT,adelie penguin,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0,30746.0
BEAG,adelie penguin,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0,96892.0
BEAN,adelie penguin,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,491.0,508.666666667,526.333333333,544.0,699.25,854.5,899.333333333,944.166666667,989.0
BEAU,adelie penguin,34600.0,34600.0,34600.0,34600.0,34600.0,34600.0,34600.0,34600.0,37612.5,40625.0,36741.0,39985.0,53079.0,46001.0,43336.0,42561.0,27953.0,37668.0,36155.0,32403.0,28651.0,24899.0,21147.0,21216.0,21285.0,25691.6666667,30098.3333333,34505.0,38911.6666667,43318.3333333,47725.0,52335.0,48039.0,46800.0,45561.0,53997.0,62433.0,65111.3333333,67789.6666667,70468.0
BEAV,chinstrap penguin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BECH,adelie penguin,1644.5,1644.5,1644.5,1644.5,1644.5,1644.5,1644.5,1644.5,1644.5,1644.5,1644.5,1644.5,1644.5,1644.5,1644.5,1644.5,1644.5,1566.5,1337.5,1763.5,885.0,1270.0,1811.5,1744.5,1300.0,1413.0,1818.0,2235.5,2235.5,2235.5,2235.5,2235.5,2235.5,2235.5,2235.5,2235.5,2235.5,2235.5,2235.5,2235.5
BELI,chinstrap penguin,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
BELL,chinstrap penguin,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0,3274.0
BELS,chinstrap penguin,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0
BENE,gentoo penguin,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,692.619047619,685.238095238,677.857142857,670.476190476,663.095238095,655.714285714,648.333333333,640.952380952,633.571428571,626.19047619,618.80952381,611.428571429,604.047619048,596.666666667,589.285714286,581.904761905,574.523809524,567.142857143,559.761904762,552.380952381,545.0,1098.0,981.0,1122.0,1263.0,1404.0,1055.0,706.0
BENN,chinstrap penguin,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0
BENT,adelie penguin,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,8.0,6.0,5.4,4.8,4.2,3.6,3.0,2.5,2.0,2.25,2.5,2.75,3.0,2.0,5.0,9.0,15.0,11.0,11.0,18.0,27.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
BERK,adelie penguin,2928.0,2928.0,2928.0,2928.0,2928.0,2928.0,3284.0,3640.0,3996.0,4352.0,4708.0,5064.0,5420.0,5776.0,6132.0,6488.0,6818.23809524,7148.47619048,7478.71428571,7808.95238095,8139.19047619,8469.42857143,8799.66666667,9129.9047619,9460.14285714,9790.38095238,10120.6190476,10450.8571429,10781.0952381,11111.3333333,11441.5714286,11771.8095238,12102.047619,12432.2857143,12762.5238095,13092.7619048,13423.0,13423.0,13423.0,13423.0
BERN,gentoo penguin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERT,adelie penguin,904.0,904.0,904.0,904.0,904.0,904.0,904.0,904.0,904.0,886.125,868.25,850.375,832.5,814.625,796.75,778.875,761.0,743.125,725.25,707.375,689.5,671.625,653.75,635.875,618.0,600.125,582.25,564.375,546.5,528.625,510.75,492.875,475.0,442.75,410.5,378.25,346.0,329.5,313.0,313.0
BIEN,adelie penguin,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10386.3846154,10772.7692308,11159.1538462,11545.5384615,11931.9230769,12318.3076923,12704.6923077,13091.0769231,13477.4615385,13863.8461538,14250.2307692,14636.6153846,15023.0,16595.5384615,18168.0769231,19740.6153846,21313.1538462,22885.6923077,24458.2307692,26030.7692308,27603.3076923,29175.8461538,30748.3846154,32320.9230769,33893.4615385,35466.0,35466.0,35466.0,35466.0
BISC,adelie penguin,3440.0,3440.0,3440.0,3440.0,3440.0,3440.0,3440.0,3440.0,3440.0,3440.0,2754.0,2877.0,3000.0,2880.1,2760.2,2640.3,2520.4,2400.5,2280.6,2160.7,2040.8,1920.9,1801.0,1755.66666667,1710.33333333,1665.0,1335.0,692.0,1025.0,963.428571429,901.857142857,840.285714286,778.714285714,717.142857143,655.571428571,594.0,535.0,567.0,522.0,522.0
BISC,gentoo penguin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.8,4.2,5.6,7.0,8.4,9.8,11.2,12.6,14.0,33.0,45.0,56.0,26.0,149.0,296.0,288.0,639.0,644.0,753.0,902.0,977.0,1451.66666667,1926.33333333,2401.0,2388.0,3081.0,3197.0,3197.0
BLAK,chinstrap penguin,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
BOLI,adelie penguin,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0
BONG,adelie penguin,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,730.166666667,760.333333333,790.5,820.666666667,850.833333333,881.0,911.166666667,941.333333333,971.5,1001.66666667,1031.83333333,1062.0,1092.16666667,1122.33333333,1152.5,1182.66666667,1212.83333333,1243.0,1273.16666667,1303.33333333,1333.5,1363.66666667,1393.83333333,1424.0,2859.0,4094.0,2261.0,2272.5,2284.0,2284.0
BOWL,adelie penguin,60.0,60.0,60.0,71.1666666667,82.3333333333,93.5,104.666666667,115.833333333,127.0,138.166666667,149.333333333,160.5,171.666666667,182.833333333,194.0,205.166666667,216.333333333,227.5,238.666666667,249.833333333,261.0,272.166666667,283.333333333,294.5,305.666666667,316.833333333,328.0,339.166666667,350.333333333,361.5,372.666666667,383.833333333,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0
BOWL,chinstrap penguin,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0
BOYE,chinstrap penguin,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,208.75,217.5,226.25,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0
BPTS,chinstrap penguin,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
