,site_name,site_id,ccamlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,e_n
33,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,17.0,11.0,2011,2011,2213.0,1.0,nests,ground,0.05
34,Barrientos Island (Aitcho Islands),AITC,48.1,-59.7517,-62.4071,gentoo penguin,28.0,1.0,2014,2013,2297.0,1.0,chicks,ground,0.05
37,Aitken Cove,AITK,48.2,-44.525,-60.738,chinstrap penguin,28.0,12.0,1983,1983,3300.0,4.0,nests,ground,0.5
38,Akarui Point,AKAR,58.4.2,41.3901,-68.4999,adelie penguin,24.0,11.0,1981,1981,211.0,1.0,adults,aerial,0.05
39,Akarui Point,AKAR,58.4.2,41.3901,-68.4999,adelie penguin,14.0,11.0,1984,1984,187.0,1.0,adults,aerial,0.05
40,Akarui Point,AKAR,58.4.2,41.3901,-68.4999,adelie penguin,11.0,2.0,2011,2010,106.0,5.0,nests,vhr,0.9
41,Alasheyev Bight,ALAS,58.4.2,46.108999999999995,-67.654,adelie penguin,25.0,3.0,2009,2008,1080.0,5.0,nests,vhr,0.9
42,Alcock Island,ALCO,48.1,-61.126999999999995,-64.24,chinstrap penguin,,,1989,1989,3000.0,4.0,nests,,0.5
43,Alcock Island,ALCO,48.1,-61.126999999999995,-64.24,chinstrap penguin,5.0,1.0,1998,1997,605.0,2.0,nests,ground,0.1
44,Alcock Island,ALCO,48.1,-61.126999999999995,-64.24,chinstrap penguin,9.0,2.0,2011,2010,1100.0,1.0,nests,ground,0.05
45,Alcock Island,ALCO,48.1,-61.126999999999995,-64.24,chinstrap penguin,10.0,12.0,2010,2010,1016.0,1.0,nests,ground,0.05
46,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,28.0,11.0,1995,1995,8.0,1.0,nests,ground,0.05
47,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,2.0,12.0,1995,1995,6.0,1.0,nests,ground,0.05
48,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,13.0,12.0,1995,1995,6.0,1.0,nests,ground,0.05
49,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,16.0,12.0,1995,1995,6.0,1.0,nests,ground,0.05
50,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,25.0,11.0,1996,1996,9.0,1.0,nests,ground,0.05
51,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,23.0,11.0,1997,1997,6.0,1.0,nests,ground,0.05
52,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,4.0,12.0,1997,1997,8.0,1.0,nests,ground,0.05
53,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,16.0,1.0,2006,2005,111.0,1.0,nests,ground,0.05
54,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,6.0,2.0,2006,2005,121.0,1.0,chicks,ground,0.05
55,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,19.0,11.0,2006,2006,128.0,1.0,nests,ground,0.05
56,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,8.0,1.0,2008,2007,123.0,1.0,nests,ground,0.05
57,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,3.0,1.0,2009,2008,140.0,1.0,nests,ground,0.05
58,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,29.0,1.0,2009,2008,165.0,1.0,chicks,ground,0.05
59,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,17.0,11.0,2008,2008,192.0,1.0,nests,ground,0.05
60,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,30.0,11.0,2008,2008,163.0,1.0,nests,ground,0.05
61,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,8.0,12.0,2008,2008,153.0,1.0,nests,ground,0.05
62,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,5.0,2.0,2010,2009,228.0,1.0,chicks,ground,0.05
63,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,23.0,12.0,2009,2009,165.0,1.0,nests,ground,0.05
64,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,22.0,1.0,2012,2011,158.0,1.0,nests,ground,0.05
65,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,1.0,2.0,2012,2011,178.0,1.0,chicks,ground,0.05
66,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,4.0,12.0,2011,2011,189.0,1.0,nests,ground,0.05
67,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,8.0,1.0,2013,2012,188.0,1.0,nests,ground,0.05
68,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,11.0,1.0,2013,2012,159.0,1.0,nests,ground,0.05
69,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,22.0,1.0,2013,2012,183.0,1.0,nests,ground,0.05
70,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,12.0,12.0,2012,2012,162.0,1.0,nests,ground,0.05
71,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,3.0,1.0,2014,2013,150.0,1.0,nests,ground,0.05
72,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,26.0,1.0,2014,2013,129.0,1.0,nests,ground,0.05
73,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,12.0,12.0,2013,2013,197.0,1.0,nests,ground,0.05
74,Brown Station,ALMI,48.1,-62.8667,-64.8833,gentoo penguin,23.0,12.0,2013,2013,164.0,1.0,nests,ground,0.05
83,Ambush Bay,AMBU,48.1,-55.393,-63.184,adelie penguin,12.0,1.0,2011,2010,17621.0,5.0,nests,vhr,0.9
84,Amphibolite Point,AMPH,48.2,-45.339,-60.684,adelie penguin,31.0,12.0,1983,1983,5000.0,3.0,nests,ground,0.25
85,Amphibolite Point,AMPH,48.2,-45.339,-60.684,chinstrap penguin,31.0,12.0,1983,1983,4000.0,3.0,nests,ground,0.25
86,Amphibolite Point,AMPH,48.2,-45.339,-60.684,adelie penguin,25.0,2.0,2011,2010,7660.0,5.0,nests,vhr,0.9
87,Anchorage Island,ANCH,48.1,-68.2089,-67.6042,adelie penguin,,3.0,1977,1976,250.0,3.0,adults,ground,0.25
88,Anchorage Island,ANCH,48.1,-68.2089,-67.6042,adelie penguin,6.0,2.0,2011,2010,1553.0,5.0,nests,vhr,0.9
89,Cape Anderson,ANDE,48.2,-44.601000000000006,-60.757,chinstrap penguin,28.0,12.0,1983,1983,100.0,3.0,nests,ground,0.25
90,Andresen Island Site 2,ANDI,48.1,-66.711,-66.875,adelie penguin,7.0,12.0,2007,2007,319.0,1.0,nests,ground,0.05
91,Andresen Island Site 2,ANDI,48.1,-66.711,-66.875,adelie penguin,24.0,12.0,2009,2009,272.0,1.0,nests,ground,0.05
92,Andresen Island Site 2,ANDI,48.1,-66.711,-66.875,adelie penguin,16.0,1.0,2013,2012,281.0,1.0,nests,ground,0.05
93,Andresen Island Site 2,ANDI,48.1,-66.711,-66.875,adelie penguin,16.0,1.0,2013,2012,478.0,1.0,chicks,ground,0.05
95,Andresen Island Site 1,ANDR,48.1,-66.649,-66.87899999999999,adelie penguin,2.0,2.0,1984,1983,2200.0,4.0,nests,ground,0.5
96,Andresen Island Site 1,ANDR,48.1,-66.649,-66.87899999999999,adelie penguin,7.0,12.0,2007,2007,1271.0,1.0,nests,ground,0.05
97,Andresen Island Site 1,ANDR,48.1,-66.649,-66.87899999999999,adelie penguin,3.0,2.0,2009,2008,309.0,2.0,chicks,ground,0.1
98,Andresen Island Site 1,ANDR,48.1,-66.649,-66.87899999999999,adelie penguin,24.0,12.0,2009,2009,1139.0,1.0,nests,ground,0.05
99,Andresen Island Site 1,ANDR,48.1,-66.649,-66.87899999999999,adelie penguin,16.0,1.0,2013,2012,1104.0,1.0,chicks,ground,0.05
101,Andersen Island,ANDS,58.4.2,63.3572,-67.4353,adelie penguin,23.0,11.0,2005,2005,5000.0,5.0,nests,ground,0.9
102,Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,,12.0,1986,1986,557.0,2.0,nests,aerial,0.1
103,Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,,12.0,1988,1988,383.0,2.0,nests,aerial,0.1
104,Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,,12.0,1991,1991,346.0,2.0,nests,aerial,0.1
105,Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,,12.0,1993,1993,369.0,2.0,nests,aerial,0.1
106,Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,,12.0,1996,1996,160.0,2.0,nests,aerial,0.1
107,Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,,12.0,1998,1998,171.0,2.0,nests,aerial,0.1
108,Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,,12.0,2002,2002,273.0,2.0,nests,aerial,0.1
109,Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,,12.0,2006,2006,139.0,2.0,nests,aerial,0.1
110,Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,,12.0,2013,2013,522.0,2.0,nests,aerial,0.1
111,Anvers Island South West (7 km south of Gerlache Island),ANVS,48.1,-64.25,-64.66,chinstrap penguin,8.0,2.0,1987,1986,2.0,1.0,nests,ground,0.05
112,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,1980,1980,960.0,3.0,nests,ground,0.25
113,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,1980,1980,210.0,2.0,nests,ground,0.1
114,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,1980,1980,244.0,1.0,nests,ground,0.05
115,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,1980,1980,3809.0,1.0,nests,ground,0.05
116,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,1981,1981,1314.0,1.0,nests,ground,0.05
117,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,1981,1981,141.0,1.0,nests,ground,0.05
118,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,1981,1981,2580.0,1.0,nests,ground,0.05
119,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,1983,1983,1074.0,1.0,nests,ground,0.05
120,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,1983,1983,91.0,1.0,nests,ground,0.05
121,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,1983,1983,1656.0,1.0,nests,ground,0.05
122,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,1984,1984,1331.0,1.0,nests,ground,0.05
123,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,1984,1984,110.0,1.0,nests,ground,0.05
124,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,1984,1984,3105.0,1.0,nests,ground,0.05
125,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,1985,1985,929.0,1.0,nests,ground,0.05
126,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,1985,1985,39.0,1.0,nests,ground,0.05
127,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,1985,1985,3522.0,1.0,nests,ground,0.05
128,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,1986,1986,1160.0,1.0,nests,ground,0.05
129,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,1986,1986,3410.0,1.0,nests,ground,0.05
130,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,1994,1994,1095.0,1.0,nests,ground,0.05
131,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,1994,1994,45.0,1.0,nests,ground,0.05
132,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,1994,1994,3772.0,1.0,nests,ground,0.05
133,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,1995,1995,1226.0,1.0,nests,ground,0.05
134,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,1995,1995,49.0,1.0,nests,ground,0.05
135,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,1995,1995,2985.0,1.0,nests,ground,0.05
136,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,1996,1996,923.0,1.0,nests,ground,0.05
137,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,1996,1996,72.0,1.0,nests,ground,0.05
138,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,1996,1996,2974.0,1.0,nests,ground,0.05
139,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,1997,1997,1173.0,1.0,nests,ground,0.05
140,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,1997,1997,33.0,1.0,nests,ground,0.05
141,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,1997,1997,3146.0,1.0,nests,ground,0.05
142,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,1998,1998,1192.0,1.0,nests,ground,0.05
143,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,1998,1998,43.0,1.0,nests,ground,0.05
144,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,1998,1998,3349.0,1.0,nests,ground,0.05
145,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,1999,1999,974.0,1.0,nests,ground,0.05
146,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,1999,1999,34.0,1.0,nests,ground,0.05
147,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,1999,1999,3911.0,1.0,nests,ground,0.05
148,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,2000,2000,880.0,1.0,nests,ground,0.05
149,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,2000,2000,26.0,1.0,nests,ground,0.05
150,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,2000,2000,4472.0,1.0,nests,ground,0.05
151,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,2001,2001,780.0,1.0,nests,ground,0.05
152,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,2001,2001,22.0,1.0,nests,ground,0.05
153,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,2001,2001,4444.0,1.0,nests,ground,0.05
154,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,2002,2002,771.0,1.0,nests,ground,0.05
155,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,2002,2002,35.0,1.0,nests,ground,0.05
156,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,2002,2002,5131.0,1.0,nests,ground,0.05
157,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,2003,2003,559.0,1.0,nests,ground,0.05
158,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,2003,2003,29.0,1.0,nests,ground,0.05
159,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,2003,2003,4957.0,1.0,nests,ground,0.05
160,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,2004,2004,409.0,1.0,nests,ground,0.05
161,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,2004,2004,13.0,1.0,nests,ground,0.05
162,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,2004,2004,4798.0,1.0,nests,ground,0.05
163,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,2005,2005,334.0,1.0,nests,ground,0.05
164,Ardley Island,ARDL,48.1,-58.933,-62.213,chinstrap penguin,,,2005,2005,9.0,1.0,nests,ground,0.05
165,Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,,2005,2005,4635.0,1.0,nests,ground,0.05
166,Ardley Island,ARDL,48.1,-58.933,-62.213,adelie penguin,,,2012,2012,166.0,1.0,chicks,ground,0.05
169,Armstrong Reef,ARMS,48.1,-66.2117,-65.8919,adelie penguin,27.0,1.0,1984,1983,9626.0,1.0,chicks,ground,0.05
170,Armstrong Reef,ARMS,48.1,-66.2117,-65.8919,chinstrap penguin,27.0,1.0,1984,1983,1.0,1.0,nests,ground,0.05
171,Armstrong Reef,ARMS,48.1,-66.2117,-65.8919,chinstrap penguin,,,1989,1989,6.0,1.0,nests,,0.05
172,Armstrong Reef,ARMS,48.1,-66.2117,-65.8919,adelie penguin,8.0,1.0,2013,2012,2813.0,1.0,chicks,ground,0.05
173,Armstrong Reef,ARMS,48.1,-66.2117,-65.8919,chinstrap penguin,8.0,1.0,2013,2012,1.0,1.0,nests,ground,0.05
174,Arthurson Ridge,ARTH,88.1,158.5109,-69.3634,adelie penguin,8.0,3.0,2012,2011,14461.0,5.0,nests,vhr,0.9
175,Aspland Island,ASPL,48.1,-55.894,-61.468,chinstrap penguin,29.0,12.0,1976,1976,8650.0,4.0,nests,ground,0.5
176,Astrolabe Island,ASTR,48.1,-58.683,-63.316,chinstrap penguin,18.0,1.0,1987,1986,3400.0,4.0,nests,ground,0.5
177,Auster Islands,AUST,58.4.2,63.98,-67.39,adelie penguin,28.0,12.0,2006,2006,2082.0,5.0,nests,vhr,0.9
178,Avian Island,AVIA,48.1,-68.8855,-67.7732,adelie penguin,11.0,11.0,1978,1978,35600.0,2.0,nests,ground,0.1
179,Avian Island,AVIA,48.1,-68.8855,-67.7732,adelie penguin,14.0,1.0,2013,2012,47146.0,1.0,chicks,ground,0.05
180,Avian Island,AVIA,48.1,-68.8855,-67.7732,adelie penguin,15.0,1.0,2013,2012,77515.0,1.0,nests,ground,0.05
181,Bach Quartet,BACH,48.1,-58.028,-61.92100000000001,chinstrap penguin,,,1980,1980,230.0,2.0,nests,ground,0.1
182,Backer Islands,BACK,88.3,-102.5515,-74.4112,adelie penguin,6.0,2.0,2011,2010,465.0,5.0,nests,vhr,0.9
183,Baily Head (Deception Island),BAIL,48.1,-60.506,-62.965,chinstrap penguin,8.0,2.0,1987,1986,125000.0,5.0,adults,ground,0.9
184,Baily Head (Deception Island),BAIL,48.1,-60.506,-62.965,chinstrap penguin,,,1989,1989,100000.0,5.0,nests,,0.9
185,Baily Head (Deception Island),BAIL,48.1,-60.506,-62.965,chinstrap penguin,11.0,12.0,2008,2008,80000.0,4.0,nests,ground,0.5
186,Baily Head (Deception Island),BAIL,48.1,-60.506,-62.965,chinstrap penguin,,12.0,2011,2011,50408.0,1.0,nests,ground,0.05
187,Balaena Islands,BALA,58.4.1,111.0688,-66.0158,adelie penguin,2.0,11.0,2011,2011,160.0,5.0,nests,vhr,0.9
188,Barcroft Islands,BARC,48.1,-67.1397,-66.4575,adelie penguin,6.0,2.0,1983,1982,1600.0,5.0,nests,ground,0.9
189,Barcroft Islands,BARC,48.1,-67.1397,-66.4575,adelie penguin,10.0,1.0,2013,2012,211.0,1.0,nests,ground,0.05
190,Barnard Point (Livingston Island),BARN,48.1,-60.338,-62.758,gentoo penguin,25.0,11.0,1965,1965,264.0,3.0,nests,ground,0.25
191,Barnard Point (Livingston Island),BARN,48.1,-60.338,-62.758,chinstrap penguin,,,1987,1987,13000.0,4.0,nests,,0.5
192,Barnard Point (Livingston Island),BARN,48.1,-60.338,-62.758,gentoo penguin,,,1987,1987,600.0,1.0,nests,ground,0.05
193,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,chinstrap penguin,,,1980,1980,6298.0,2.0,nests,ground,0.1
194,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,chinstrap penguin,18.0,1.0,1985,1984,2500.0,3.0,nests,ground,0.25
195,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,gentoo penguin,,,1984,1984,500.0,2.0,nests,,0.1
196,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,chinstrap penguin,,,1985,1985,2750.0,2.0,nests,ground,0.1
197,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,chinstrap penguin,,,1985,1985,1000.0,3.0,nests,ground,0.25
198,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,gentoo penguin,,,1985,1985,600.0,2.0,nests,,0.1
199,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,chinstrap penguin,18.0,1.0,1987,1986,1000.0,3.0,nests,ground,0.25
200,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,chinstrap penguin,12.0,2.0,1987,1986,3500.0,3.0,adults,ground,0.25
201,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,gentoo penguin,,,1986,1986,425.0,2.0,nests,,0.1
202,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,chinstrap penguin,,,1989,1989,1161.0,2.0,nests,ground,0.1
203,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,gentoo penguin,,,1989,1989,682.0,2.0,nests,,0.1
204,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,chinstrap penguin,,,1992,1992,2000.0,2.0,nests,ground,0.1
205,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,gentoo penguin,,,1992,1992,500.0,2.0,nests,,0.1
206,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,chinstrap penguin,,,1994,1994,2924.0,2.0,nests,ground,0.1
207,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,gentoo penguin,,,1994,1994,1001.0,2.0,nests,,0.1
208,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,chinstrap penguin,,,2000,2000,3117.0,2.0,nests,ground,0.1
209,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,gentoo penguin,,,2000,2000,1333.0,2.0,nests,,0.1
210,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,chinstrap penguin,,,2001,2001,3008.0,2.0,nests,ground,0.1
211,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,gentoo penguin,,,2001,2001,1441.0,2.0,nests,,0.1
212,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,chinstrap penguin,,,2006,2006,2961.0,2.0,nests,ground,0.1
213,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,gentoo penguin,,,2006,2006,1719.0,2.0,nests,,0.1
214,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,chinstrap penguin,,,2007,2007,2747.0,2.0,nests,ground,0.1
215,Barton Peninsula,BART,48.1,-58.791000000000004,-62.224,gentoo penguin,,,2007,2007,1684.0,2.0,nests,,0.1
